Clase,η1,η2,N1,N2,η,N,V,D,E,T,B,CC,Promedio_Tiempo(s),Promedio_Memoria(KB),refactor
Programa037,5,15,32,31,20,63,272.28146997790384,5.166666666666667,1406.7875948858366,78.15486638254647,0.041850221922485,3,0.0569,55135,1
Programa038,4,8,16,15,12,31,111.13383752235583,3.75,416.7518907088344,23.152882817157465,0.0185978952728277,2,0.0575,54815,1
Programa039,5,9,18,19,14,37,140.87213211613135,5.277777777777778,743.4918083906932,41.305100466149625,0.0273566472570309,4,0.0569,54757,1
Programa040,5,7,19,15,12,34,121.8887250245193,5.357142857142857,652.9753126313534,36.27640625729741,0.0250886091980598,3,0.0611,56039,1
Programa041,5,15,32,31,20,63,272.28146997790384,5.166666666666667,1406.7875948858366,78.15486638254647,0.041850221922485,3,0.0568,54829,1
Programa042,4,8,16,15,12,31,111.13383752235583,3.75,416.7518907088344,23.152882817157465,0.0185978952728277,2,0.0589,54298,1
Programa043,5,9,18,19,14,37,140.87213211613135,5.277777777777778,743.4918083906932,41.305100466149625,0.0273566472570309,4,0.0575,54445,1
Programa044,5,7,19,15,12,34,121.8887250245193,5.357142857142857,652.9753126313534,36.27640625729741,0.0250886091980598,3,0.0602,56014,1
Programa045,5,15,32,31,20,63,272.28146997790384,5.166666666666667,1406.7875948858366,78.15486638254647,0.041850221922485,3,0.0582,54786,1
Programa046,4,8,16,15,12,31,111.13383752235583,3.75,416.7518907088344,23.152882817157465,0.0185978952728277,2,0.0574,54678,1
Programa047,5,9,18,19,14,37,140.87213211613135,5.277777777777778,743.4918083906932,41.305100466149625,0.0273566472570309,4,0.0594,54418,1
Programa048,5,7,19,15,12,34,121.8887250245193,5.357142857142857,652.9753126313534,36.27640625729741,0.0250886091980598,3,0.0586,55980,1
Programa049,5,15,32,31,20,63,272.28146997790384,5.166666666666667,1406.7875948858366,78.15486638254647,0.041850221922485,3,0.0569,54488,1
Programa050,4,8,16,15,12,31,111.13383752235583,3.75,416.7518907088344,23.152882817157465,0.0185978952728277,2,0.0572,54455,1
Programa051,5,9,18,19,14,37,140.87213211613135,5.277777777777778,743.4918083906932,41.305100466149625,0.0273566472570309,4,0.0565,54306,1
Programa052,5,7,19,15,12,34,121.8887250245193,5.357142857142857,652.9753126313534,36.27640625729741,0.0250886091980598,3,0.0605,56173,1
