Archivo,Método,η1,η2,N1,N2,η,N,V,D,E,T,B,CC,refactor
SharedEntityManagerCreator.java,createSharedEntityManager,1,6,1,8,7,9,25.26619429851844,0.6666666666666666,16.844129532345626,0.9357849740192015,0.0021903379454711043,2,1
SharedEntityManagerCreator.java,createSharedEntityManager,4,8,5,11,12,16,57.3594000115385,2.75,157.73835003173087,8.763241668429494,0.009731286848828622,2,1
SharedEntityManagerCreator.java,createSharedEntityManager,8,14,20,25,22,45,200.67442283867837,7.142857142857143,1433.3887345619885,79.63270747566602,0.042376140827577305,2,1
SharedEntityManagerCreator.java,createSharedEntityManager,5,10,11,14,15,25,97.67226489021297,3.5,341.8529271157454,18.991829284208077,0.01629689799417688,2,1
SharedEntityManagerCreator.java,createSharedEntityManager,18,115,340,480,133,820,5785.331597110976,37.565217391304344,217327.23912625576,12073.73550701421,1.2049106799768203,51,1
MimeTypeUtils.java,parseMimeType,5,11,8,16,16,24,96.0,3.6363636363636367,349.0909090909091,19.393939393939394,0.016526127717418036,3,1
MimeTypeUtils.java,parseMimeTypeInternal,15,59,145,196,74,341,2117.423597679472,24.915254237288135,52756.147264217354,2930.8970702342976,0.46887901194855447,25,1
MimeTypeUtils.java,toString,7,15,18,30,22,48,214.05271769459029,7.0,1498.369023862132,83.24272354789622,0.043647355520882065,8,1
MimeTypeUtils.java,sortBySpecificity,3,9,6,12,12,18,64.5293250129808,2.0,129.0586500259616,7.169925001442312,0.008512755447996739,3,1
MimeTypeUtils.java,initRandom,6,15,25,41,21,66,289.89294990339823,8.2,2377.122189207865,132.0623438448814,0.05937173621840304,4,1
MimeTypeUtils.java,generateMultipartBoundaryString,3,5,3,6,8,9,27.0,1.7999999999999998,48.599999999999994,2.6999999999999997,0.004439181733794845,1,1
GenericCollectionTypeResolver.java,isIntrospectionCandidate,3,6,6,9,9,15,47.548875021634686,2.25,106.98496879867804,5.943609377704336,0.0075120866399800545,1,1
DefaultConversionTests.java,valueOf,4,20,21,56,24,77,353.042112555529,5.6,1977.0358303109622,109.83532390616456,0.05250755211458935,1,1
DefaultConversionTests.java,findTestEntity,7,9,14,18,16,32,128.0,7.0,896.0,49.77777777777778,0.030980190579006413,1,1
Response.java,from,7,11,11,17,18,28,116.75790004038474,5.409090909090909,631.5540956729902,35.086338648499456,0.024536867397145865,1,1
Response.java,status,3,7,4,10,10,14,46.50699332842307,2.142857142857143,99.65784284662087,5.5365468248122705,0.007165058383377737,1,1
Response.java,status,2,3,2,5,5,7,16.253496664211536,1.6666666666666667,27.089161107019226,1.5049533948344014,0.0030066008967897778,1,1
Response.java,ok,2,5,2,5,7,7,19.651484454403228,1.0,19.651484454403228,1.0917491363557348,0.00242740543524258,1,1
Response.java,created,3,8,4,12,11,16,55.35090589819676,2.25,124.5395382709427,6.918863237274595,0.00831285578253799,1,1
Response.java,accepted,5,8,7,10,13,17,62.907475208398566,3.125,196.5858600262455,10.92143666812475,0.011269732209158166,1,1
Response.java,badRequest,5,8,7,10,13,17,62.907475208398566,3.125,196.5858600262455,10.92143666812475,0.011269732209158166,1,1
Response.java,unprocessableEntity,5,61,67,144,66,211,1275.3671591846337,5.9016393442622945,7526.757005024067,418.15316694578155,0.12802182351531918,4,1
ShallowEtagHeaderFilter.java,disableContentCaching,1,8,2,10,9,12,38.039100017307746,0.625,23.774437510817343,1.3208020839342969,0.0027560403969563805,1,1
ShallowEtagHeaderFilter.java,isContentCachingDisabled,6,22,17,46,28,63,302.86336008962905,6.2727272727272725,1899.7792587440367,105.54329215244648,0.0511305942075685,1,1
TestPropertySourceUtils.java,buildMergedTestPropertySources,9,27,32,50,36,82,423.9338501182696,8.333333333333334,3532.782084318914,196.26567135105077,0.07731966756988255,7,1
TestPropertySourceUtils.java,mergeTestPropertySourceAttributes,6,10,11,27,16,38,152.0,8.100000000000001,1231.2000000000003,68.40000000000002,0.03829109769529691,4,1
TestPropertySourceUtils.java,duplicationDetected,9,33,51,83,42,134,722.5705346523539,11.318181818181818,8178.184687656188,454.3435937586771,0.13530588553161318,12,1
TestPropertySourceUtils.java,addPropertiesFilesToEnvironment,1,8,6,16,9,22,69.73835003173087,1.0,69.73835003173087,3.874352779540604,0.00564754704415116,3,1
TestPropertySourceUtils.java,addPropertiesFilesToEnvironment,2,13,6,17,15,23,89.85848369899593,1.3076923076923077,117.5072479140716,6.528180439670645,0.007996903375658847,5,1
TestPropertySourceUtils.java,addPropertySourcesToEnvironment,3,9,5,17,12,22,78.86917501586544,2.833333333333333,223.46266254495205,12.414592363608447,0.012274827321509906,5,1
TestPropertySourceUtils.java,addPropertySourcesToEnvironment,12,43,40,74,55,114,659.0750073418112,10.325581395348838,6805.3326339480045,378.0740352193336,0.11970482343726174,5,1
TestPropertySourceUtils.java,addInlinedPropertiesToEnvironment,1,8,6,15,9,21,66.56842503028855,0.9375,62.407898465895514,3.4671054703275286,0.005244512410993568,2,1
TestPropertySourceUtils.java,addInlinedPropertiesToEnvironment,15,78,146,200,93,346,2262.548948643379,19.230769230769234,43510.55670468037,2417.2531502600204,0.4123587096329633,16,1
TxNamespaceHandler.java,getTransactionManagerName,4,13,7,18,17,25,102.18657103125848,2.769230769230769,282.97819670194656,15.72101092788592,0.014367484206461651,1,1
BeanNamePointcutMatchingTests.java,matches,4,11,7,19,15,26,101.57915548582149,3.4545454545454546,350.9098098601106,19.49498943667281,0.016583483060234536,1,1
UriComponentsBuilder.java,newInstance,2,2,3,3,4,6,12.0,1.5,18.0,1.0,0.0022894284851066636,1,1
UriComponentsBuilder.java,fromPath,4,5,4,11,9,15,47.548875021634686,4.4,209.21505009519262,11.623058338621812,0.011747371246463426,1,1
UriComponentsBuilder.java,fromUri,4,5,4,11,9,15,47.548875021634686,4.4,209.21505009519262,11.623058338621812,0.011747371246463426,4,1
UriComponentsBuilder.java,fromUriString,8,33,54,110,41,164,878.6385287573657,13.333333333333334,11715.180383431543,650.8433546350857,0.1719404524719938,10,1
UriComponentsBuilder.java,fromHttpUrl,12,106,294,583,118,877,6036.077954290335,33.0,199190.57249158106,11066.142916198947,1.13690610475892,30,1
HandlerMethodValidator.java,determineObjectName,6,16,14,26,22,40,178.37726474549189,4.875,869.589165634273,48.310509201904054,0.030368370695605832,3,1
HandlerMethodValidator.java,from,6,24,16,43,30,59,289.50654514090263,5.375,1556.0976801323516,86.44987111846397,0.044761364336474284,5,1
MethodValidationInterceptor.java,getTarget,11,30,57,75,41,132,707.196864609587,13.75,9723.956888381821,540.2198271323234,0.15185907904470655,9,1
TestPropertySourceUtilsTests.java,assertMergedTestPropertySources,7,58,61,146,65,207,1246.63013729689,8.810344827586206,10983.241382046737,610.1800767803743,0.1647020851764003,1,1
TestBeanCreator.java,createTestBean,4,8,5,15,12,20,71.69925001442311,3.75,268.8721875540867,14.937343753004816,0.01388596285022766,1,1
TestBeanCreator.java,createTestBean,4,5,5,10,9,15,47.548875021634686,4.0,190.19550008653874,10.566416671474375,0.011024161587825522,1,1
AbstractEndpointConnectionManager.java,initUri,11,74,76,163,85,239,1531.8444337369108,12.114864864864865,18558.088308718114,1031.004906039895,0.23365096010184613,8,1
TestContextAotGeneratorTests.java,assertRuntimeHints,3,58,181,233,61,414,2455.325257751035,6.025862068965518,14795.451337654946,821.969518758608,0.20089273153320808,1,1
TestContextAotGeneratorTests.java,assertReflectionRegistered,1,15,5,20,16,25,100.0,0.6666666666666666,66.66666666666666,3.7037037037037033,0.005480471276289932,2,1
